genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_diff_in_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,,,
Lesira,BR017-102,tenminusfive,2,3,1.01697916,,,,,,,,,,,,0,1.01697916,0,1,,,,,,0,0,0,1,,,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenminusfive,1,1,1.00162037,,,,,,,,,,,,1,-3.99837963,0,3,,,,,,5,2,-3,-2,,,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenminusfive,1,2,0.00032408,,,,,,,,,,,,-1,-4.99967592,0,0,,,,,,5,2,-3,-5,,,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenminusfive,2,3,0.99186343,,,,,,,,,,,,-1,-1.00813657,0,0,,,,,,2,0,-2,-2,,,,,,,,,,,,,,
SHANNON_x_WINNER_DH_LINE,BR017-106,tenminusfive,1,1,1.00159723,,,,,,,,,,,,-1,1.00159723,0,-3,,,,,,0,0,0,-3,,,,,,,,,,,,,,
SHANNON_x_WINNER_DH_LINE,BR017-106,tenminusfive,1,2,1.00164352,,,,,,,,,,,,-1,-0.99835648,0,-2,,,,,,2,-2,-4,-4,,,,,,,,,,,,,,
SHANNON_x_WINNER_DH_LINE,BR017-106,tenminusfive,2,3,0.99636574,,,,,,,,,,,,-1,2.99636574,0,,,,,,,-2,,,,,,,,,,,,,,,,,
Janetzkis_Schlesischer,BR017-107,tenminusfive,1,1,12.00164352,1.14332715,-30.045745,9.59636577,-5.82705342,-1.361136527,-2.34942189,-15.89515335,-9.22897009,-298,1.0512384,-10.95040509,0,2.00164352,0,8,21,13,-2980,15837.5,-1823.713235,10,10,0,-2,,,,,,,,,,,,,,
Janetzkis_Schlesischer,BR017-107,tenminusfive,1,2,11.54686342,-0.93364514,-4.1257276,6.91538194,-4.91916388,-1.731498531,-2.91346923,-15.55302274,-6.53415018,-187,1.1259491,-10.42091435,0,4.54686342,0,8,8,0,-5397,-68086,-3583.473684,7,7,0,1,,,,,,,,,,,,,,
Janetzkis_Schlesischer,BR017-107,tenminusfive,2,3,9.03297453,-10.7569721,-19.9863883,9.0131713,-0.60445797,0.456365482,-0.03653013,-30.40481154,-14.91414771,-304,0.9370255,-8.09594908,0,2.03297453,0,8,0,-8,-5710,-118270,-3688.214286,7,7,0,1,,,,,,,,,,,,,,
LEMBKES_MALCHOWER_LENORA,BR017-108,tenminusfive,1,1,27.30939813,-24.3159938,-59.51279889,25.4133218,-0.65644997,-0.42954847,-0.88066856,-33.58314032,-25.0252782,-496,26.8573611,-0.45203703,0,6.30939813,0,21,28,7,-4728,-11803.5,-2734.961539,21,25,4,0,,,,,,,,,,,,,,
LEMBKES_MALCHOWER_LENORA,BR017-108,tenminusfive,1,2,8.17996523,-11.7269119,-72.84962547,22.73680559,-3.75456307,5.386930972,-0.18911377,-53.2433242,-19.99445,-524,10.8645139,2.68454861,0,-5.82003477,0,18,6,-12,-3267,-65081.5,-2582.825,14,16,2,4,,,,,,,,,,,,,,
LEMBKES_MALCHOWER_LENORA,BR017-108,tenminusfive,2,3,15.00702551,-53.7563205,-66.5836421,24.98278931,13.96703516,11.83343662,13.14665311,-102.6164548,-64.54160506,51,30.6599074,15.65288194,0,-5.99297449,0,25,22,-3,-3701,-32146.5,-2972.944444,21,21,0,4,,,,,,,,,,,,,,
NORIN,BR017-109,tenminusfive,1,1,5.99836808,13.65102147,-27.3163217,8.0047917,-9.6242174,-2.87494634,-5.445653719,-15.86729372,0.46682132,-572,-0.9243287,-6.92269676,0,3.99836808,0,2,-9,-11,-2726,-47621,-1877.921053,2,3,1,0,,,,,,,,,,,,,,
NORIN,BR017-109,tenminusfive,1,2,9.99090278,19.94166767,,,-7.7056526,-2.616700297,-5.05646043,33.45485166,21.6111567,61,-14.0742824,-24.06518518,0,4.99090278,0,6,37,31,-3132,27184,-2983.887218,5,4,-1,1,,,,,,,,,,,,,,
NORIN,BR017-109,tenminusfive,2,3,4.95883102,-9.54415799,-19.635772,4.97053238,2.40034584,2.020253868,3.53297226,-35.27454428,-23.30948688,0,2.6629977,-2.29583333,0,-0.04116898,0,4,24,20,-3858,1160,-2557.624522,5,4,-1,-1,,,,,,,,,,,,,,
Samourai,BR017-113,tenminusfive,1,1,0.00032407,,,,,,,,,,,,0,-1.99967593,0,,,,,,,2,,,,,,,,,,,,,,,,,
Samourai,BR017-113,tenminusfive,1,2,-2.9987037,,,,,,,,,,,,0,-4.9987037,0,-2,,,,,,2,0,-2,-4,,,,,,,,,,,,,,
Samourai,BR017-113,tenminusfive,2,3,0.9958449,,,,,,,,,,,,1,-4.0041551,0,3,,,,,,5,0,-5,-2,,,,,,,,,,,,,,
Baltia,BR017-133,tenminusfive,1,1,3.01204861,-1.17781025,-7.061052,4.99125,-0.1880568,0.23229222,0.33618967,-8.72702096,-4.67544039,0,7.6625,4.65045139,0,-3.98795139,0,1,10,9,-1694,25113.5,-2032.666667,7,3,-4,-6,,,,,,,,,,,,,,
Baltia,BR017-133,tenminusfive,1,2,2.01240741,-5.48797745,-14.2407825,1.86163194,-2.20990774,-1.38865079,-1.71916278,-1.68619726,-6.0363297,-276,0.0015741,-2.01083333,0,0.01240741,0,2,0,-2,-971,-22094.5,-779.26161,2,3,1,0,,,,,,,,,,,,,,
Baltia,BR017-133,tenminusfive,2,3,3.9909838,-9.34003318,-15.3174738,5.03208334,3.37097093,1.312456375,1.83206132,-13.1768707,-6.34177947,44,11.1230093,7.13202547,0,-3.0090162,0,6,0,-6,-2030,-17198,234.125,7,5,-2,-1,,,,,,,,,,,,,,
Coriander,BR017-137,tenminusfive,1,1,1.00158565,-20.40100695,-42.5731347,2.01174768,4.83944448,2.747784508,3.22189725,-40.29244419,-19.35813226,0,6.4192361,5.41765046,0,-0.99841435,0,2,12,10,-4275,71931,11.163743,2,2,0,0,,,,,,,,,,,,,,
Coriander,BR017-137,tenminusfive,1,2,2.00232639,-22.07312648,-15.080144,3.0115625,3.32710892,0.099497913,1.284056223,-11.6542443,-18.14157726,-119,0.0015741,-2.00075231,0,0.00232639,0,0,1,1,545,-16737,-2677.02778,2,0,-2,-2,,,,,,,,,,,,,,
Coriander,BR017-137,tenminusfive,2,3,2.01172454,-0.72574703,4.4234709,4.00079861,-1.06537359,-1.138195356,-1.33048175,13.48845322,3.86768801,-146,3.4528935,1.44116899,0,2.01172454,0,1,5,4,1274,51295.5,2199.458333,0,2,2,1,,,,,,,,,,,,,,
Dippes,BR017-139,tenminusfive,1,1,7.00159723,-7.2988156,-9.3565592,7.31709491,-2.79343697,-0.492632431,-0.6611681,-29.12535756,-20.90681199,-307,0.7421412,-6.25945602,0,0.00159723,0,7,9,2,-3035,-11777.5,-3083.515873,7,10,3,0,,,,,,,,,,,,,,
Dippes,BR017-139,tenminusfive,1,2,10.01800926,8.49657951,-41.5254848,8.08197917,-6.17079111,-2.0054564,-3.85494612,2.8270829,3.48235531,-394,0.0015625,-10.01644676,0,-1.98199074,0,8,9,1,-5150,-39388.5,-4686.816667,12,10,-2,-4,,,,,,,,,,,,,,
Dippes,BR017-139,tenminusfive,2,3,10.02369213,25.44128589,-37.8016365,9.78212963,-6.198200166,-0.200710175,-1.047262612,-28.97792622,-9.1563489,-232,0.0015741,-10.02211805,0,0.02369213,0,14,9,-5,-7462,-39869,-2949,10,14,4,4,,,,,,,,,,,,,,
Kromerska,BR017-150,tenminusfive,1,1,4.99131944,-24.90051839,0.5788306,3.54695602,7.39507994,-2.225354501,-0.02807021,19.99108409,-15.6841681,-339,8.9586689,3.96734953,0,1.99131944,0,3,-1,-4,-7145,-169504.5,-4965.969175,3,2,-1,0,,,,,,,,,,,,,,
Kromerska,BR017-150,tenminusfive,1,2,12.00136574,-7.69763737,-9.2219381,10.19475695,-2.99078024,-3.305410653,-4.86863602,17.8928255,6.39554962,-345,6.7126968,-5.28866898,0,3.00136574,0,10,26,16,-644,17264.5,-1916.897516,9,7,-2,1,,,,,,,,,,,,,,
Kromerska,BR017-150,tenminusfive,2,3,5.77091435,3.71403177,-27.9597082,4.95944444,-3.38576464,0.313399314,1.3102656,-25.1959983,-17.17987064,-75,-0.0023032,-5.77321759,0,1.77091435,0,4,9,5,-1620,-33156.5,-1694.505583,4,5,1,0,,,,,,,,,,,,,,
Matador,BR017-160,tenminusfive,1,1,3.01188657,-36.30203787,-19.6989792,5.99136574,5.50062713,2.512682394,3.708543064,-51.15340013,-39.97064315,16,1.0014931,-2.01039352,0,-3.98811343,0,6,5,-1,-2704,-18417.5,-2039.690476,7,7,0,-1,,,,,,,,,,,,,,
Matador,BR017-160,tenminusfive,1,2,3.01153935,-11.94125248,-30.3491758,6.01420139,1.05568144,1.360507381,1.92920964,-49.5267554,-29.61012632,-133,0.0015741,-3.00996528,0,-3.98846065,0,4,-9,-13,-9856,-170971.5,-6406.254383,7,7,0,-3,,,,,,,,,,,,,,
Matador,BR017-160,tenminusfive,2,3,7.02836805,,,,,,,,,,,,-1,0.02836805,0,7,,,,,,7,9,2,0,,,,,,,,,,,,,,
Ramses,BR017-168,tenminusfive,1,1,2.00217593,-33.29718083,-40.5428192,3.54342592,5.42104892,2.036102253,3.428241301,-56.62017279,-36.19588733,-49,6.6039699,4.60179398,0,-2.99782407,0,5,3,-2,-1856,-20193,-854.603175,5,2,-3,0,,,,,,,,,,,,,,
Ramses,BR017-168,tenminusfive,1,2,1.00123843,-6.46740528,-37.6760866,1.91101851,-0.57775248,1.710578889,0.93693064,-59.39870093,-18.2484904,-228,0.0015625,-0.99967593,0,-5.99876157,0,3,5,2,-322,-1463.5,-1540.18254,7,2,-5,-4,,,,,,,,,,,,,,
Ramses,BR017-168,tenminusfive,2,3,1.98627315,1.82049638,2.4751299,2.00165509,-1.93604369,0.358269984,-0.742893646,-28.5592963,-3.49736677,-142,0.001574,-1.98469907,0,-3.01372685,0,4,4,0,-352,5830.5,728.8125,5,7,2,-1,,,,,,,,,,,,,,
Slovenska_Krajova,BR017-172,tenminusfive,1,1,3.01206019,-39.25999553,-38.9759507,3.31703703,10.04575368,1.183489381,9.51007378,-31.0441088,-50.21595705,-263,9.4573958,6.44533565,0,-3.98793981,0,4,17,13,-6001,-20088.5,-4434.635,7,5,-2,-3,,,,,,,,,,,,,,
Slovenska_Krajova,BR017-172,tenminusfive,1,2,3.01177084,-21.20697368,-60.1436625,4.99127315,9.94127546,1.008714967,8.67000456,-19.18726166,-28.10101842,-127,8.9569676,5.94519676,0,0.01177084,0,5,15,10,-3104,-29886.5,-2702.083718,3,2,-1,2,,,,,,,,,,,,,,
Slovenska_Krajova,BR017-172,tenminusfive,2,3,1.00043981,-31.88503116,-44.7221696,5.03188657,8.95002726,4.013426079,6.201171419,-53.91847223,-36.59821147,0,12.1890625,11.18862268,0,-1.99956019,0,0,3,3,-5626,-41469.5,-4458.9,3,2,-1,-3,,,,,,,,,,,,,,
CANARD,BR017-185,tenminusfive,1,1,7.00163195,4.82952462,-22.6319409,6.05576389,-2.16202949,-1.066965438,-0.560075966,13.84930285,-3.15528713,-132,1.0015162,-6.00011574,0,0.00163195,0,6,13,7,-3075,10945,-928.928571,7,5,-2,-1,,,,,,,,,,,,,,
