genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_ratio_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,
Baltia,BR017-133,tenvsfive,1,2,1.023030856,0.928229731,0.899849477,1.067366558,0.878166863,0.793347292,0.868941524,0.982909814,0.929016851,0.847513812,1.000033224,0.912571628,,0.980028314,,1.068965517,1,0.894736842,0.850177442,0.737117327,0.823837013,1.08,1.103448276,1.25,1,,,,,,,,,,,,
Baltia,BR017-133,tenvsfive,2,3,1.046505333,0.882823187,0.904352215,1.202846756,1.210445125,1.267505915,1.162382635,0.886180824,0.929228174,1.0248307,1.253625138,1.339001448,,-0.067872913,,1.24,1,0.5,0.680314961,0.537756514,1.075513029,1.35,1.185185185,0.714285714,0.8,,,,,,,,,,,,
Coriander,BR017-137,tenvsfive,1,1,1.011770457,0.78774193,0.733877873,1.083498065,1.361104853,1.668482116,1.336561878,0.700232733,0.816927787,1,1.161792801,1.308127831,,0.756078733,,1.076923077,1.352941176,2.111111111,0.706790123,2.114397261,1.001556597,1.111111111,1.074074074,1,1,,,,,,,,,,,,
Coriander,BR017-137,tenvsfive,1,2,1.023702209,0.754593574,0.897343933,1.12826499,1.234693302,1.022878711,1.131410637,0.906054695,0.822599677,0.935290919,1.000033782,0.920343482,,1.000668796,,1,1.029411765,1.111111111,1.033918347,0.814650136,0.733185123,1.111111111,1,0.777777778,0.75,,,,,,,,,,,,
Coriander,BR017-137,tenvsfive,2,3,1.024315377,0.991582034,1.031214547,1.192998932,0.931714976,0.816059282,0.886954014,1.136939069,1.042572186,0.920609027,1.088151507,1.074152043,,2.159719769,,1.041666667,1.161290323,1.5,1.102700524,2.029947394,1.353298262,1,1.08,1.285714286,1.166666667,,,,,,,,,,,,
Dippes,BR017-139,tenvsfive,1,1,1.080342248,0.910141219,0.945607329,1.262905271,0.829796684,0.913719177,0.940091798,0.7216815,0.781759309,0.833061446,1.015992252,0.718791841,,0.998127205,,1.225806452,1.243243243,1.285714286,0.710207199,0.78934707,0.61393661,1.28,1.344827586,1.75,1,,,,,,,,,,,,
Dippes,BR017-139,tenvsfive,1,2,1.115813462,1.107425503,0.761881411,1.284369286,0.638148798,0.599839755,0.66218417,1.023000491,1.037000459,0.784934498,1.000033517,0.566696958,,0.433919103,,1.275862069,1.243243243,1.111111111,0.49519702,0.414880342,0.373392308,1.6,1.344827586,0.777777778,0.555555556,,,,,,,,,,,,
Dippes,BR017-139,tenvsfive,2,3,1.116857823,1.359377294,0.766167013,1.37627428,0.590071681,0.941223976,0.85626404,0.775102922,0.92000802,0.852791878,1.000035926,0.523627165,,1.03049898,,1.5,1.272727273,0.166666667,0.372783055,0.100103828,0.600622969,1.454545455,1.518518519,1.8,1.666666667,,,,,,,,,,,,
Kromerska,BR017-150,tenvsfive,1,1,1.055952024,0.591928512,1.004498418,1.113695876,1.344700717,0.635475706,0.997948187,1.212801973,0.79233465,0.815660685,1.163726468,1.139155629,,-1.511532169,,1.096774194,0.984126984,0.878787879,0.450933682,0.194002492,0.220761456,1.111111111,1.0625,0.8,1,,,,,,,,,,,,
Kromerska,BR017-150,tenvsfive,1,2,1.13725736,0.859199239,0.918879798,1.324289966,0.869943346,0.547055016,0.669128966,1.235694327,1.09472368,0.803754266,1.120450554,0.830994818,,-4.330606217,,1.322580645,1.702702703,3.285714286,0.887314086,1.643189777,0.500101236,1.36,1.21875,0.714285714,1.166666667,,,,,,,,,,,,
Kromerska,BR017-150,tenvsfive,2,3,1.064827596,1.07699676,0.833930908,1.172014073,0.868176246,1.088517018,1.130038218,0.83056448,0.82186319,0.957888827,0.999963741,0.846051712,,2.737195865,,1.137931034,1.166666667,1.192307692,0.708370837,0.670872191,0.562666999,1.16,1.172413793,1.25,1,,,,,,,,,,,,
Matador,BR017-160,tenvsfive,1,1,1.034990433,0.661695199,0.873480357,1.229662096,1.489223968,1.591236096,1.465868742,0.600742321,0.667951087,1.009667674,1.02173496,0.912591938,,-0.295923126,,1.214285714,1.147058824,0.857142857,0.726841095,0.574215996,0.669918662,1.35,1.259259259,1,0.875,,,,,,,,,,,,
Matador,BR017-160,tenvsfive,1,2,1.034816248,0.862813397,0.823667699,1.226881928,1.071227498,1.369836397,1.227371326,0.671428735,0.752292604,0.927678086,1.000033768,0.86979144,,-0.140178537,,1.142857143,0.804347826,0.315789474,0.362813551,0.117354617,0.371622953,1.35,1.259259259,1,0.625,,,,,,,,,,,,
Matador,BR017-160,tenvsfive,2,3,1.082813124,,,,,,,,,,,,,1.015168296,,1.28,,,,,,1.35,1.36,1.4,1,,,,,,,,,,,,
Ramses,BR017-168,tenvsfive,1,1,1.023499941,0.67458977,0.773482832,1.146423819,1.422436843,1.523181355,1.385696296,0.61843676,0.689828637,0.973355084,1.162670487,1.250124246,,-0.363149309,,1.192307692,1.088235294,0.777777778,0.814529829,0.684230279,0.879724644,1.25,1.074074074,0.571428571,1,,,,,,,,,,,,
